occurrence_no,identified_name,identified_rank,accepted_name,accepted_rank,early_interval,max_ma,min_ma,ref_pubyr,phylum,class,order,family,genus,lng,lat,state,county,paleolng,paleolat,geoplate,cc,lithdescript,lithology1,lithadj1,lithification1,environment,tectonic_setting,geology_comments,assembl_comps,pres_mode,collection_type,taxonomy_comments,taxon_environment,motility,vision,diet,genus
1520,Cymbionites sp.,genus,Cymbionites,genus,Ordian,516,513,1983,Echinodermata,Eocrinoidea,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Cymbionites,136.916672,-19.629168,Northern Territory,,106.31,7.57,801,AU,"The N13 material is a reddish skeletal wackestone with abundant sponge, hyolith and trilobite debris",wackestone,"shelly/skeletal,red",,"reef, buildup or bioherm",,"""oolitic and xtalline ls, BA3""",mesofossils,body,taxonomic,P.D. Kruse 1983. Middle Cambrian 'Archeocyathus' from the Georgina Basin is an anthaspidellid sponge.  Alcheringa 7:49-58,marine,"stationary, attached",blind,suspension feeder,Cymbionites
1521,Peridionites sp.,genus,Peridionites,genus,Ordian,516,513,1983,Echinodermata,Eocrinoidea,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Peridionites,136.916672,-19.629168,Northern Territory,,106.31,7.57,801,AU,"The N13 material is a reddish skeletal wackestone with abundant sponge, hyolith and trilobite debris",wackestone,"shelly/skeletal,red",,"reef, buildup or bioherm",,"""oolitic and xtalline ls, BA3""",mesofossils,body,taxonomic,P.D. Kruse 1983. Middle Cambrian 'Archeocyathus' from the Georgina Basin is an anthaspidellid sponge.  Alcheringa 7:49-58,marine,"stationary, attached",blind,suspension feeder,Peridionites
7012,Urosoma sp.,genus,Protaster,genus,Wenlock,433.4,427.4,1983,Echinodermata,Ophiuroidea,Oegophiurida,Protasteridae,Protaster,144.279999,-36.759998,Victoria,,118.75,-9.63,801,AU,,sandstone,,,marine indet.,,"""laminated sand and mud-sand.  BA6""",macrofossils,body,general faunal/floral,"""Garratt, 1983""",marine,slow-moving,blind,"detritivore, suspension feeder",Protaster
7013,Stuertzaster sp.,genus,Stuertzaster,genus,Wenlock,433.4,427.4,1983,Echinodermata,Stenuroidea,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Stuertzaster,144.279999,-36.759998,Victoria,,118.75,-9.63,801,AU,,sandstone,,,marine indet.,,"""laminated sand and mud-sand.  BA6""",macrofossils,body,general faunal/floral,"""Garratt, 1983""",marine,actively mobile,,carnivore,Stuertzaster
7014,Victoriacystis sp.,genus,Victoriacystis,genus,Wenlock,433.4,427.4,1983,Echinodermata,Stylophora,Mitrata,Anomalocystitidae,Victoriacystis,144.279999,-36.759998,Victoria,,118.75,-9.63,801,AU,,sandstone,,,marine indet.,,"""laminated sand and mud-sand.  BA6""",macrofossils,body,general faunal/floral,"""Garratt, 1983""",marine,passively mobile,blind,suspension feeder,Victoriacystis
7015,Aegiria sp.,genus,Aegiria,genus,Wenlock,433.4,427.4,1983,Brachiopoda,Strophomenata,Strophomenida,Aegiromenidae,Aegiria,144.279999,-36.759998,Victoria,,118.75,-9.63,801,AU,,sandstone,,,marine indet.,,"""laminated sand and mud-sand.  BA6""",macrofossils,body,general faunal/floral,"""Garratt, 1983""",,stationary,blind,suspension feeder,Aegiria
7016,Lissatrypa sp.,genus,Lissatrypa,genus,Wenlock,433.4,427.4,1983,Brachiopoda,Rhynchonellata,Atrypida,Lissatrypidae,Lissatrypa,144.279999,-36.759998,Victoria,,118.75,-9.63,801,AU,,sandstone,,,marine indet.,,"""laminated sand and mud-sand.  BA6""",macrofossils,body,general faunal/floral,"""Garratt, 1983""",,stationary,blind,suspension feeder,Lissatrypa
7017,Lingula sp.,genus,Lingula,genus,Wenlock,433.4,427.4,1983,Brachiopoda,Lingulata,Lingulida,Lingulidae,Lingula,144.279999,-36.759998,Victoria,,118.75,-9.63,801,AU,,sandstone,,,marine indet.,,"""laminated sand and mud-sand.  BA6""",macrofossils,body,general faunal/floral,"""Garratt, 1983""",,facultatively mobile,blind,suspension feeder,Lingula
7018,Dalejina sp.,genus,Dalejina,genus,Wenlock,433.4,427.4,1983,Brachiopoda,Rhynchonellata,Orthida,Rhipidomellidae,Dalejina,144.279999,-36.759998,Victoria,,118.75,-9.63,801,AU,,sandstone,,,marine indet.,,"""laminated sand and mud-sand.  BA6""",macrofossils,body,general faunal/floral,"""Garratt, 1983""",,"stationary, attached",blind,suspension feeder,Dalejina
7019,Protochonetes sp.,genus,Protochonetes,genus,Wenlock,433.4,427.4,1983,Brachiopoda,Strophomenata,Productida,Strophochonetidae,Protochonetes,144.279999,-36.759998,Victoria,,118.75,-9.63,801,AU,,sandstone,,,marine indet.,,"""laminated sand and mud-sand.  BA6""",macrofossils,body,general faunal/floral,"""Garratt, 1983""",,stationary,blind,suspension feeder,Protochonetes
7020,Rhynchonellidae indet.,family,Rhynchonellidae,family,Wenlock,433.4,427.4,1983,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,,144.279999,-36.759998,Victoria,,118.75,-9.63,801,AU,,sandstone,,,marine indet.,,"""laminated sand and mud-sand.  BA6""",macrofossils,body,general faunal/floral,"""Garratt, 1983""",,stationary,blind,suspension feeder,
7021,Notocarpos sp.,genus,Notocarpos,genus,Ludlow,427.4,423,1983,Echinodermata,Stylophora,Mitrata,NO_FAMILY_SPECIFIED,Notocarpos,144.279999,-36.759998,Victoria,,120.39,-15.76,801,AU,,not reported,,,marine indet.,,"""BA6""",macrofossils,body,general faunal/floral,"""Garratt, 1983""",marine,passively mobile,blind,suspension feeder,Notocarpos
7022,Petraster sp.,genus,Petraster,genus,Ludlow,427.4,423,1983,Echinodermata,Asteroidea,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Petraster,144.279999,-36.759998,Victoria,,120.39,-15.76,801,AU,,not reported,,,marine indet.,,"""BA6""",macrofossils,body,general faunal/floral,"""Garratt, 1983""",marine,slow-moving,limited,carnivore,Petraster
7023,Crinoidea indet.,class,Crinoidea,class,Ludlow,427.4,423,1983,Echinodermata,Crinoidea,,,,144.279999,-36.759998,Victoria,,120.39,-15.76,801,AU,,not reported,,,marine indet.,,"""BA6""",macrofossils,body,general faunal/floral,"""Garratt, 1983""",marine,"stationary, attached",blind,suspension feeder,
7024,Molongia sp.,genus,Molongia,genus,Ludlow,427.4,423,1983,Brachiopoda,Rhynchonellata,Athyridida,Retziellidae,Molongia,144.279999,-36.759998,Victoria,,120.39,-15.76,801,AU,,not reported,,,marine indet.,,"""BA6""",macrofossils,body,general faunal/floral,"""Garratt, 1983""",,stationary,blind,suspension feeder,Molongia
7025,Lissatrypa sp.,genus,Lissatrypa,genus,Ludlow,427.4,423,1983,Brachiopoda,Rhynchonellata,Atrypida,Lissatrypidae,Lissatrypa,144.279999,-36.759998,Victoria,,120.39,-15.76,801,AU,,not reported,,,marine indet.,,"""BA6""",macrofossils,body,general faunal/floral,"""Garratt, 1983""",,stationary,blind,suspension feeder,Lissatrypa
7026,Maoristrophia sp.,genus,Maoristrophia,genus,Ludlow,427.4,423,1983,Brachiopoda,Strophomenata,Strophomenida,Amphistrophiidae,Maoristrophia,144.279999,-36.759998,Victoria,,120.39,-15.76,801,AU,,not reported,,,marine indet.,,"""BA6""",macrofossils,body,general faunal/floral,"""Garratt, 1983""",,stationary,blind,suspension feeder,Maoristrophia
7027,Plectodonta sp.,genus,Plectodonta,genus,Ludlow,427.4,423,1983,Brachiopoda,Strophomenata,Strophomenida,Sowerbyellidae,Plectodonta,144.279999,-36.759998,Victoria,,120.39,-15.76,801,AU,,not reported,,,marine indet.,,"""BA6""",macrofossils,body,general faunal/floral,"""Garratt, 1983""",,stationary,blind,suspension feeder,Plectodonta
7028,Lingula sp.,genus,Lingula,genus,Ludlow,427.4,423,1983,Brachiopoda,Lingulata,Lingulida,Lingulidae,Lingula,144.279999,-36.759998,Victoria,,120.39,-15.76,801,AU,,not reported,,,marine indet.,,"""BA6""",macrofossils,body,general faunal/floral,"""Garratt, 1983""",,facultatively mobile,blind,suspension feeder,Lingula
7029,Pleurodictyum sp.,genus,Pleurodictyum,genus,Ludlow,427.4,423,1983,Cnidaria,Anthozoa,Favositida,Micheliniidae,Pleurodictyum,144.279999,-36.759998,Victoria,,120.39,-15.76,801,AU,,not reported,,,marine indet.,,"""BA6""",macrofossils,body,general faunal/floral,"""Garratt, 1983""",,"stationary, attached",blind,"suspension feeder, photosymbiotic",Pleurodictyum
7030,Favosites sp.,genus,Favosites,genus,Ludlow,427.4,423,1983,Cnidaria,Anthozoa,Favositida,Favositidae,Favosites,144.279999,-36.759998,Victoria,,120.39,-15.76,801,AU,,not reported,,,marine indet.,,"""BA6""",macrofossils,body,general faunal/floral,"""Garratt, 1983""",,"stationary, attached",blind,"suspension feeder, photosymbiotic",Favosites
7031,Odontochile sp.,genus,Odontochile,genus,Ludlow,427.4,423,1983,Arthropoda,Trilobita,Phacopida,Dalmanitidae,Odontochile,144.279999,-36.759998,Victoria,,120.39,-15.76,801,AU,,not reported,,,marine indet.,,"""BA6""",macrofossils,body,general faunal/floral,"""Garratt, 1983""",marine,fast-moving,well-developed,carnivore,Odontochile
11189,Notanoplia sp.,genus,Notanoplia,genus,Pridoli,423,410.8,1983,Brachiopoda,Rhynchonellata,Spiriferida,NO_FAMILY_SPECIFIED,Notanoplia,144.279999,-36.759998,Victoria,,122.66,-24.92,801,AU,,lime mudstone,,,offshore shelf,,"""lime mud. offshore. BA5-6""",macrofossils,body,paleoecologic,"""Garratt, M.J. 1983. Sil to early Dev. facies and biofacies patterns for the Melbourne Trough, central Victoria. J. Geol. Soc. Australia 30:121-147""",,stationary,blind,suspension feeder,Notanoplia
11190,Notoparmella sp.,genus,Notoparmella,genus,Pridoli,423,410.8,1983,Brachiopoda,Rhynchonellata,Spiriferida,NO_FAMILY_SPECIFIED,Notoparmella,144.279999,-36.759998,Victoria,,122.66,-24.92,801,AU,,lime mudstone,,,offshore shelf,,"""lime mud. offshore. BA5-6""",macrofossils,body,paleoecologic,"""Garratt, M.J. 1983. Sil to early Dev. facies and biofacies patterns for the Melbourne Trough, central Victoria. J. Geol. Soc. Australia 30:121-147""",,stationary,blind,suspension feeder,Notoparmella
11191,Boucotia sp.,genus,Boucotia,genus,Pridoli,423,410.8,1983,Brachiopoda,Rhynchonellata,Spiriferida,NO_FAMILY_SPECIFIED,Boucotia,144.279999,-36.759998,Victoria,,122.66,-24.92,801,AU,,lime mudstone,,,offshore shelf,,"""lime mud. offshore. BA5-6""",macrofossils,body,paleoecologic,"""Garratt, M.J. 1983. Sil to early Dev. facies and biofacies patterns for the Melbourne Trough, central Victoria. J. Geol. Soc. Australia 30:121-147""",,stationary,blind,suspension feeder,Boucotia
11192,Protochonetes sp.,genus,Protochonetes,genus,Pridoli,423,410.8,1983,Brachiopoda,Strophomenata,Productida,Strophochonetidae,Protochonetes,144.279999,-36.759998,Victoria,,122.66,-24.92,801,AU,,lime mudstone,,,offshore shelf,,"""lime mud. offshore. BA5-6""",macrofossils,body,paleoecologic,"""Garratt, M.J. 1983. Sil to early Dev. facies and biofacies patterns for the Melbourne Trough, central Victoria. J. Geol. Soc. Australia 30:121-147""",,stationary,blind,suspension feeder,Protochonetes
11193,Plectodonta sp.,genus,Plectodonta,genus,Pridoli,423,410.8,1983,Brachiopoda,Strophomenata,Strophomenida,Sowerbyellidae,Plectodonta,144.279999,-36.759998,Victoria,,122.66,-24.92,801,AU,,lime mudstone,,,offshore shelf,,"""lime mud. offshore. BA5-6""",macrofossils,body,paleoecologic,"""Garratt, M.J. 1983. Sil to early Dev. facies and biofacies patterns for the Melbourne Trough, central Victoria. J. Geol. Soc. Australia 30:121-147""",,stationary,blind,suspension feeder,Plectodonta
11194,Lissatrypa sp.,genus,Lissatrypa,genus,Pridoli,423,410.8,1983,Brachiopoda,Rhynchonellata,Atrypida,Lissatrypidae,Lissatrypa,144.279999,-36.759998,Victoria,,122.66,-24.92,801,AU,,lime mudstone,,,offshore shelf,,"""lime mud. offshore. BA5-6""",macrofossils,body,paleoecologic,"""Garratt, M.J. 1983. Sil to early Dev. facies and biofacies patterns for the Melbourne Trough, central Victoria. J. Geol. Soc. Australia 30:121-147""",,stationary,blind,suspension feeder,Lissatrypa
11195,Gracianella sp.,genus,Gracianella,genus,Pridoli,423,410.8,1983,Brachiopoda,Rhynchonellata,Atrypida,Atrypinidae,Gracianella,144.279999,-36.759998,Victoria,,122.66,-24.92,801,AU,,lime mudstone,,,offshore shelf,,"""lime mud. offshore. BA5-6""",macrofossils,body,paleoecologic,"""Garratt, M.J. 1983. Sil to early Dev. facies and biofacies patterns for the Melbourne Trough, central Victoria. J. Geol. Soc. Australia 30:121-147""",,stationary,blind,suspension feeder,Gracianella
11196,Odontochile sp.,genus,Odontochile,genus,Pridoli,423,410.8,1983,Arthropoda,Trilobita,Phacopida,Dalmanitidae,Odontochile,144.279999,-36.759998,Victoria,,122.66,-24.92,801,AU,,lime mudstone,,,offshore shelf,,"""lime mud. offshore. BA5-6""",macrofossils,body,paleoecologic,"""Garratt, M.J. 1983. Sil to early Dev. facies and biofacies patterns for the Melbourne Trough, central Victoria. J. Geol. Soc. Australia 30:121-147""",marine,fast-moving,well-developed,carnivore,Odontochile
11197,Dalmanites sp.,genus,Dalmanites,genus,Pridoli,423,410.8,1983,Arthropoda,Trilobita,Phacopida,Dalmanitidae,Dalmanites,144.279999,-36.759998,Victoria,,122.66,-24.92,801,AU,,lime mudstone,,,offshore shelf,,"""lime mud. offshore. BA5-6""",macrofossils,body,paleoecologic,"""Garratt, M.J. 1983. Sil to early Dev. facies and biofacies patterns for the Melbourne Trough, central Victoria. J. Geol. Soc. Australia 30:121-147""",marine,fast-moving,well-developed,carnivore,Dalmanites
11198,Apocalymene sp.,genus,Apocalymene,genus,Pridoli,423,410.8,1983,Arthropoda,Trilobita,Phacopida,Calymenidae,Apocalymene,144.279999,-36.759998,Victoria,,122.66,-24.92,801,AU,,lime mudstone,,,offshore shelf,,"""lime mud. offshore. BA5-6""",macrofossils,body,paleoecologic,"""Garratt, M.J. 1983. Sil to early Dev. facies and biofacies patterns for the Melbourne Trough, central Victoria. J. Geol. Soc. Australia 30:121-147""",marine,actively mobile,well-developed,carnivore,Apocalymene
11199,Leonaspis sp.,genus,Leonaspis,genus,Pridoli,423,410.8,1983,Arthropoda,Trilobita,Odontopleurida,Odontopleuridae,Leonaspis,144.279999,-36.759998,Victoria,,122.66,-24.92,801,AU,,lime mudstone,,,offshore shelf,,"""lime mud. offshore. BA5-6""",macrofossils,body,paleoecologic,"""Garratt, M.J. 1983. Sil to early Dev. facies and biofacies patterns for the Melbourne Trough, central Victoria. J. Geol. Soc. Australia 30:121-147""",marine,fast-moving,well-developed,carnivore,Leonaspis
11200,Trimerus sp.,genus,Trimerus,genus,Pridoli,423,410.8,1983,Arthropoda,Trilobita,Phacopida,Homalonotidae,Trimerus,144.279999,-36.759998,Victoria,,122.66,-24.92,801,AU,,lime mudstone,,,offshore shelf,,"""lime mud. offshore. BA5-6""",macrofossils,body,paleoecologic,"""Garratt, M.J. 1983. Sil to early Dev. facies and biofacies patterns for the Melbourne Trough, central Victoria. J. Geol. Soc. Australia 30:121-147""",marine,fast-moving,well-developed,carnivore,Trimerus
11201,Blastoidea indet.,subclass,Blastoidea,subclass,Pragian,410.8,407.6,1983,Echinodermata,NO_CLASS_SPECIFIED,,,,144.279999,-36.759998,Victoria,,125.2,-31.65,801,AU,,not reported,,,marine indet.,,"""BA6"" [no litho info given]",macrofossils,body,paleoecologic,"""Garratt, 1983""",marine,"stationary, attached",blind,suspension feeder,
11202,Cystoidea indet.,class,Cystoidea,class,Pragian,410.8,407.6,1983,Echinodermata,Cystoidea,,,,144.279999,-36.759998,Victoria,,125.2,-31.65,801,AU,,not reported,,,marine indet.,,"""BA6"" [no litho info given]",macrofossils,body,paleoecologic,"""Garratt, 1983""",marine,"stationary, attached",,suspension feeder,
11203,Schuchertella sp.,genus,Schuchertella,genus,Pragian,410.8,407.6,1983,Brachiopoda,Strophomenata,Orthotetida,Schuchertellidae,Schuchertella,144.279999,-36.759998,Victoria,,125.2,-31.65,801,AU,,not reported,,,marine indet.,,"""BA6"" [no litho info given]",macrofossils,body,paleoecologic,"""Garratt, 1983""",,"stationary, attached",blind,suspension feeder,Schuchertella
11204,Lapworthura sp.,genus,Lapworthura,genus,Pragian,410.8,407.6,1983,Echinodermata,Ophiuroidea,Oegophiurida,Lapworthuridae,Lapworthura,144.279999,-36.759998,Victoria,,125.2,-31.65,801,AU,,not reported,,,marine indet.,,"""BA6"" [no litho info given]",macrofossils,body,paleoecologic,"""Garratt, 1983""",marine,slow-moving,blind,"detritivore, suspension feeder",Lapworthura
11205,Crepidosoma sp.,genus,Crepidosoma,genus,Pragian,410.8,407.6,1983,Echinodermata,Ophiuroidea,NO_ORDER_SPECIFIED,Encrinasteridae,Crepidosoma,144.279999,-36.759998,Victoria,,125.2,-31.65,801,AU,,not reported,,,marine indet.,,"""BA6"" [no litho info given]",macrofossils,body,paleoecologic,"""Garratt, 1983""",marine,slow-moving,blind,"detritivore, suspension feeder",Crepidosoma
11206,Urosoma sp.,genus,Protaster,genus,Pragian,410.8,407.6,1983,Echinodermata,Ophiuroidea,Oegophiurida,Protasteridae,Protaster,144.279999,-36.759998,Victoria,,125.2,-31.65,801,AU,,not reported,,,marine indet.,,"""BA6"" [no litho info given]",macrofossils,body,paleoecologic,"""Garratt, 1983""",marine,slow-moving,blind,"detritivore, suspension feeder",Protaster
11207,Eospondylus sp.,genus,Eospondylus,genus,Pragian,410.8,407.6,1983,Echinodermata,Ophiuroidea,Phrynophiurida,Eospondylidae,Eospondylus,144.279999,-36.759998,Victoria,,125.2,-31.65,801,AU,,not reported,,,marine indet.,,"""BA6"" [no litho info given]",macrofossils,body,paleoecologic,"""Garratt, 1983""",marine,actively mobile,blind,suspension feeder,Eospondylus
11208,Pleurodictyum sp.,genus,Pleurodictyum,genus,Pragian,410.8,407.6,1983,Cnidaria,Anthozoa,Favositida,Micheliniidae,Pleurodictyum,144.279999,-36.759998,Victoria,,125.2,-31.65,801,AU,,not reported,,,marine indet.,,"""BA6"" [no litho info given]",macrofossils,body,paleoecologic,"""Garratt, 1983""",,"stationary, attached",blind,"suspension feeder, photosymbiotic",Pleurodictyum
11209,Eospirifer sp.,genus,Eospirifer,genus,Pragian,410.8,407.6,1983,Brachiopoda,Rhynchonellata,Spiriferida,Cyrtiidae,Eospirifer,144.279999,-36.759998,Victoria,,125.2,-31.65,801,AU,,not reported,,,marine indet.,,"""BA6"" [no litho info given]",macrofossils,body,paleoecologic,"""Garratt, 1983""",,stationary,blind,suspension feeder,Eospirifer
11210,Boucotia sp.,genus,Boucotia,genus,Pragian,410.8,407.6,1983,Brachiopoda,Rhynchonellata,Spiriferida,NO_FAMILY_SPECIFIED,Boucotia,144.279999,-36.759998,Victoria,,125.2,-31.65,801,AU,,not reported,,,marine indet.,,"""BA6"" [no litho info given]",macrofossils,body,paleoecologic,"""Garratt, 1983""",,stationary,blind,suspension feeder,Boucotia
